iter	Passed	Remaining
0	1	191
1	3	176
2	5	165
3	6	149
4	7	146
5	9	142
6	10	139
7	12	138
8	13	136
9	14	134
10	16	132
11	17	129
12	19	127
13	20	126
14	21	124
15	23	124
16	25	122
17	26	119
18	27	117
19	28	114
20	29	111
21	30	108
22	31	105
23	32	103
24	33	100
25	34	97
26	34	94
27	35	91
28	36	88
29	37	86
30	37	84
31	38	81
32	39	79
33	39	76
34	40	74
35	40	72
36	41	70
37	41	68
38	42	66
39	43	64
40	43	62
41	43	60
42	44	59
43	45	57
44	45	55
45	46	54
46	46	52
47	47	51
48	47	49
49	48	48
50	49	47
51	49	45
52	50	44
53	50	43
54	51	41
55	51	40
56	52	39
57	53	38
58	53	37
59	54	36
60	54	35
61	55	34
62	56	33
63	56	32
64	57	31
65	58	29
66	58	28
67	59	27
68	59	26
69	60	25
70	61	24
71	61	23
72	62	23
73	62	22
74	63	21
75	63	20
76	64	19
77	65	18
78	65	17
79	66	16
80	66	15
81	67	14
82	68	13
83	68	13
84	69	12
85	69	11
86	70	10
87	70	9
88	71	8
89	72	8
90	72	7
91	73	6
92	73	5
93	74	4
94	75	3
95	75	3
96	76	2
97	76	1
98	77	0
99	77	0
